created_at,user_name,text,retweet_count,favorite_count,entities.hashtags.text,sentiment,search_term,senti_ratio
Fri Dec 03 19:23:34 +0000 2021,TandGIreland,"RT @TacticalDogLive: Rescue dog graduates from K9 program 
😀Congratulations, Lotus! Good luck and God bless to you and Officer John Colvin…",4,0,[],13.0,dog,0.04980842911877394
Fri Dec 03 19:23:34 +0000 2021,CardaleStephen,"RT @MissingPetsGB: 🐕 This is Goldie, she has gone missing from Hartfield road #Cowden #Edenbridge #TN8 yesterday 2 December.
Goldie is an a…",63,0,"['cowden', 'edenbridge', 'tn8']",-2.0,dog,-0.007662835249042145
Fri Dec 03 19:23:33 +0000 2021,MikeBur42463061,@TeresaLaudensl2 @izzjarq @CesHq @FoxNews The fact that you don't recognize racist dog whistles à la Willie Horton is on you.,0,0,[],-3.0,dog,-0.011494252873563218
Fri Dec 03 19:23:33 +0000 2021,wnctimes,RT @ashevillehumane: Just take a look at that sweet face! Pee Dee came to us when his owners could no longer care for him. He is a 3 year o…,1,0,[],3.0,dog,0.011494252873563218
Fri Dec 03 19:23:32 +0000 2021,carol_hulme,"RT @AdoptionsUk: Please retweet to help Buster find a home #LEEDS #ENGLAND 
DETAILS or APPLY👇
https://t.co/EEoxUBk5vy #dogs https://t.co/Sz…",80,0,"['leeds', 'england', 'dogs']",3.0,dog,0.011494252873563218
Fri Dec 03 19:23:32 +0000 2021,gjmount,The world when 4th wave ska hits... except the lady &amp; dog will be skanking. https://t.co/HY1E00BIFw,0,0,[],0.0,dog,0.0
Fri Dec 03 19:23:31 +0000 2021,GBkanimanman,【定期】金爆/ギルド/シド/ABC/JDA/しゃるろっとガゼ/BugLug/Dir/オペラ/R指定/Daizy/DOG/ブルビリ/己龍/キャンゼル/メア/ギルガメッシュ/BORN/Dolly/Lilly/GLAY etc...好盤… https://t.co/XCNZ1tTU2Z,0,0,[],0.0,dog,0.0
Fri Dec 03 19:23:31 +0000 2021,Manchuriatrump,@FINALLEVEL @CuteSpartacus Dog makes face lol.. kidding,0,0,[],3.0,dog,0.011494252873563218
Fri Dec 03 19:23:31 +0000 2021,BakedGriffin,RT @fathernightr0ad: “Put your dog up or I’m not coming over” is not the threat y’all think it is lol,9,0,[],1.0,dog,0.0038314176245210726
Fri Dec 03 19:23:30 +0000 2021,lmegordon,RT @AnniemuMary: I actually do want a vacuum for Christmas. And a complete set of measuring cups where the 1 cup size isn’t permanently use…,5,0,[],1.0,dog,0.0038314176245210726
Fri Dec 03 19:23:30 +0000 2021,LChaix,RT @pguich: My dog finding out our hotel has a pool - for dogs. https://t.co/yNGTWKSZPJ,1,0,[],0.0,dog,0.0
Fri Dec 03 19:23:30 +0000 2021,Your_Pal_Billy,@CBSNews They shot the dog didn’t they?,0,0,[],0.0,dog,0.0
Fri Dec 03 19:23:30 +0000 2021,kevc1980,"RT @Sidney_Falco: BEST SUPPORTING ACTOR: Kodi Smit-McPhee for ""The Power of the Dog"" #NYFCC",169,0,['nyfcc'],4.0,dog,0.01532567049808429
Fri Dec 03 19:23:30 +0000 2021,thegolden8x,"I tried to switch up Bennys 🐶 dog food (same brand, different flavor) thinking, maybe my little guy may appreciate… https://t.co/JTW0bVvMVx",0,0,[],2.0,dog,0.007662835249042145
Fri Dec 03 19:23:30 +0000 2021,GStankalis,@HerschelWalker Just heard you on @clayandbuck so you have a new follower (&amp; so does your dog). Good luck with your run for the Senate.,0,0,[],6.0,dog,0.022988505747126436
Fri Dec 03 19:23:29 +0000 2021,noitedeoscar,Os vencedores do New York Film Critcs Circle (NYFCC) foram anunciados e Drive My Car é o grande vencedor da premiaç… https://t.co/q1oxMq8e2D,0,0,[],0.0,dog,0.0
Fri Dec 03 19:23:29 +0000 2021,IVEGLITTER,RT @IVEGLITTER: Stop comparing Gaeul with a dog. It was ok at first but everytime we talk about her yall being about that dog. It’s not fun…,69,0,[],3.0,dog,0.011494252873563218
Fri Dec 03 19:23:29 +0000 2021,Labs4rescue,"Gulliver #4 is a calm, approx. 2 year old, 60lbs. male, chocolate lab being fostered in New England who likes other… https://t.co/O2DJKGmjkF",0,0,[],4.0,dog,0.01532567049808429
Fri Dec 03 19:23:29 +0000 2021,Jack_Over17,RT @GalaxyZeinz: @TheAnything_Bot i found a new walking dog https://t.co/E2b7dNFlU9,4,0,[],0.0,dog,0.0
Fri Dec 03 19:23:28 +0000 2021,narushi_dog,"イケメンって色々と大変だよな。
モテすぎたりするし",0,0,[],0.0,dog,0.0
Fri Dec 03 19:23:28 +0000 2021,ehlers_anthony,"RT @AdoptionsUk: URGENT, please share far and wide to help find Bea and Molly, MISSING together #APPLEBY #CUMBRIA #UK 

Both lost on NOV 4T…",305,0,"['appleby', 'cumbria', 'uk']",-2.0,dog,-0.007662835249042145
Fri Dec 03 19:23:28 +0000 2021,EmmaBertero,RT @pr1ncessc4stle: hot dog ca veut dire chien chaud et tout le monde en mange…. societer malade,1818,0,[],-5.0,dog,-0.019157088122605363
Fri Dec 03 19:23:28 +0000 2021,Captain_Gt4,"RT @dondekojo: Nigeria in a nutshell. Lion is roaming freely, dog is chained",2582,0,[],0.0,dog,0.0
Fri Dec 03 19:23:27 +0000 2021,Magicanz,$dog War Posters! #doge #ownthedoge https://t.co/YxoTdmZXpb,0,0,"['doge', 'ownthedoge']",-2.0,dog,-0.007662835249042145
Fri Dec 03 19:23:26 +0000 2021,_robbiin,"@deividpetterson Vou passar em acz só pra pegar a dog mano, semana que vem 👊🏾✌🏾",0,0,[],0.0,dog,0.0
Fri Dec 03 19:23:26 +0000 2021,dog_0828,"「恋人がワンコのしつけをしないから別れたい…」
↑これ、意外と多いみたいです。

例えば、トイレのしつけが出来なくて
家中がおしっこ臭いとか。飼い主さんは
耐えられても恋人さんにはムリ…。

このように犬のしつけ不足が原因で
恋愛関係がこじれる事もあります。",0,0,[],0.0,dog,0.0
Fri Dec 03 19:23:26 +0000 2021,Brianna85762659,@RedZeverin It's a Dog on drugs,0,0,[],0.0,dog,0.0
Fri Dec 03 19:23:26 +0000 2021,Tawlahny,"RT @dondekojo: Nigeria in a nutshell. Lion is roaming freely, dog is chained",2582,0,[],0.0,dog,0.0
Fri Dec 03 19:23:26 +0000 2021,overwatch_snipe,"RT @insomniacgames: Happy 20th anniversary to our pals from another dimension! We 💙 you, Jak and Daxter! #RatchetPS5 @Naughty_Dog https://t…",303,0,['ratchetps5'],3.0,dog,0.011494252873563218
Fri Dec 03 19:23:25 +0000 2021,cesium_v,"RT @insomniacgames: Happy 20th anniversary to our pals from another dimension! We 💙 you, Jak and Daxter! #RatchetPS5 @Naughty_Dog https://t…",303,0,['ratchetps5'],3.0,dog,0.011494252873563218
Fri Dec 03 19:23:25 +0000 2021,X_Offender__,@ChillCandace She acts like a tiny dog in tortoise form😂,0,0,[],2.0,dog,0.007662835249042145
Fri Dec 03 19:23:24 +0000 2021,nicoleeex_x3,i want a dog so bad but i’m allergic. 🥺,0,0,[],-4.0,dog,-0.01532567049808429
Fri Dec 03 19:23:23 +0000 2021,Shae_InHerBag,RT @FaugaleRoyale: That dog said “now listen here mutha____… I ain’t these other dogs” 😭😂 https://t.co/vapRvmhhHw,1534,0,[],0.0,dog,0.0
Fri Dec 03 19:23:23 +0000 2021,JjMerliah,RT @Lampo05807486: My dog or Coffee แอนเลือก my dog ร่างทรงมิสุแบบนี่แบบใจฟูมากยิ้มหน้าบาน 55555555 🥺 น้องยอมเลิกกาแฟเพื่อมิสุอะแม่ #MissUn…,9,0,[],0.0,dog,0.0
Fri Dec 03 19:23:23 +0000 2021,coccinellanovem,"RT @SVPhillimore: What about my own county, whose data base is groaning with pictures of my dog? Well at least @wiltshirepolice give disabl…",3,0,[],0.0,dog,0.0
Fri Dec 03 19:23:22 +0000 2021,janekellybyrne1,"RT @AdoptionsUk: Please retweet to help find a home for MONTY .
UK's 'most overlooked dog' Monty heartbreakingly spends SEVEN YEARS  in ken…",124,0,[],2.0,dog,0.007662835249042145
Fri Dec 03 19:23:21 +0000 2021,shewolfintbay,Got the day off work. Spending it with @jannarden and my dog! This show is so good lol. 😂 #selfcare #healing… https://t.co/bKLj7gfvyA,0,0,"['selfcare', 'healing']",6.0,dog,0.022988505747126436
Fri Dec 03 19:23:20 +0000 2021,BloodyRedBaron,Golden dog https://t.co/seSfenHiff,0,0,[],0.0,dog,0.0
Fri Dec 03 19:23:20 +0000 2021,BNelden,@Clementeoffici1 @Long_Tulips I’m here dog,0,0,[],0.0,dog,0.0
Fri Dec 03 19:23:20 +0000 2021,EB0NYHOUND,"snorts , scraping his claws against the ground .

      sure , dog -- close enough , he supposes . four legs , long… https://t.co/AU4PSKZT4O",0,0,[],0.0,dog,0.0
Fri Dec 03 19:23:18 +0000 2021,deeuu27,@RexChapman Just taking my dog to the blackjack table this weekend,0,0,[],0.0,dog,0.0
Fri Dec 03 19:23:18 +0000 2021,pukkadigitalsvg,Dog Paw Christmas Ornament | Glowforge Dxf | Paw Wings Ornament Digital Laser Cut File | Dog Custom Name Christmas… https://t.co/jWcXTjc1qy,0,0,[],-1.0,dog,-0.0038314176245210726
Fri Dec 03 19:23:17 +0000 2021,sprehpainting,RT @cecywesyy: i found this tiny black and white dog roaming on the streets of san pablo with his harness and leash on. If you know who he…,15,0,[],0.0,dog,0.0
Fri Dec 03 19:23:17 +0000 2021,Rachaell_Taiwo,"RT @dondekojo: Nigeria in a nutshell. Lion is roaming freely, dog is chained",2582,0,[],0.0,dog,0.0
Fri Dec 03 19:23:17 +0000 2021,KathrynStrasse1,"@Greg43098140 Damn, How do you get that Pup to do that?  I have a collection of Dog towels and yell at anyone who l… https://t.co/WOQ1KDQMCc",0,0,[],-4.0,dog,-0.01532567049808429
Fri Dec 03 19:23:16 +0000 2021,ILoveanimalstoo,"RT @ILoveanimalstoo: In Brazil, this priest &amp; volunteers collect stray dogs from streets, feed &amp; clean them, then the priest takes a dog to…",8,0,[],2.0,dog,0.007662835249042145
Fri Dec 03 19:23:16 +0000 2021,Addeyola,"RT @alinwakingsley: E get one foreign lazy dog in my compound wey dey form ajebo. Things tough for the owner, e no come see money buy dog f…",62,0,[],-2.0,dog,-0.007662835249042145
Fri Dec 03 19:23:15 +0000 2021,deutschmarine,RT @CoryRohr: psa: leash your dog. everybody hates you and nobody thinks you're cool,7,0,[],-2.0,dog,-0.007662835249042145
Fri Dec 03 19:23:15 +0000 2021,OvalBallf1,"RT @AdoptionsUk: Please retweet to help find a home for MONTY .
UK's 'most overlooked dog' Monty heartbreakingly spends SEVEN YEARS  in ken…",124,0,[],2.0,dog,0.007662835249042145
Fri Dec 03 19:23:15 +0000 2021,mbrown7311,"@PhantomGhost031 In other words, you got a new dog. Ain’t no one giving that cutie back.",0,0,[],-1.0,dog,-0.0038314176245210726
Fri Dec 03 19:23:14 +0000 2021,d_overlord,"RT @chazhutton: So my friend drove me home and I was in the back seat with their dog, who after being dried off with an available ‘car towe…",2327,0,[],0.0,dog,0.0
Fri Dec 03 19:23:14 +0000 2021,yesthisisitz,@Optimus_Dork Here’s a pic of my dog lol hope it helps https://t.co/E5CdoPF6p5,0,0,[],7.0,dog,0.02681992337164751
Fri Dec 03 19:23:13 +0000 2021,Timmy_Varner,@MaseratiLeo3 @1010marie_ @VirginMIAH 😂 my dog on tmz,0,0,[],0.0,dog,0.0
Fri Dec 03 19:23:13 +0000 2021,CardaleStephen,"RT @AdoptionsUk: Please retweet to help Jasper find a home #Manchester #ENGLAND 
Terrier aged approx 7, found as a stray, nervous but affec…",223,0,"['manchester', 'england']",1.0,dog,0.0038314176245210726
Fri Dec 03 19:23:13 +0000 2021,Transit_Dog,New season of Project Runway looks good https://t.co/qxXNd3wevY,0,0,[],3.0,dog,0.011494252873563218
Fri Dec 03 19:23:13 +0000 2021,Shanaya99129651,"RT @Paridhi8069: #PratikSehajpal  he is real big heart king.Teja, karan and umar are real dog's character(shameless because they're in grou…",1,0,['pratiksehajpal'],1.0,dog,0.0038314176245210726
Fri Dec 03 19:23:12 +0000 2021,SP_015,"RT @AdoptionsUk: Please retweet, it is illegal to sell a puppy or kitten away from where he/ she was bred #UK 
. Always insist on seeing th…",235,0,['uk'],-2.0,dog,-0.007662835249042145
Fri Dec 03 19:23:12 +0000 2021,nikko_jefe,"RT @dondekojo: Nigeria in a nutshell. Lion is roaming freely, dog is chained https://t.co/wzpsBryGhf",2582,0,[],0.0,dog,0.0
